wmo,cycle,date,lat,lon,sst_proxy_c,mld_m,thermocline_depth_m,heat_content_0_300m,n_levels,year
4900574,186,2010-01-10,43.9010009765625,-126.96700286865234,10.32800006866455,52.70000076293945,52.70000076293945,2353.91162109375,44,2010 (Baseline)
4900574,187,2010-01-21,43.972999572753906,-126.91600036621094,10.006999969482422,67.9000015258789,75.30000305175781,2332.4375,44,2010 (Baseline)
4900574,188,2010-02-01,43.888999938964844,-127.05500030517578,9.857999801635742,75.80000305175781,75.80000305175781,2317.08837890625,44,2010 (Baseline)
4900574,189,2010-02-11,43.86199951171875,-127.1709976196289,9.788000106811523,75.5,75.5,2305.2177734375,44,2010 (Baseline)
4900574,190,2010-02-22,43.7140007019043,-127.33000183105469,9.779000282287598,75.30000305175781,75.30000305175781,2259.933349609375,44,2010 (Baseline)
4900574,191,2010-03-04,43.50299835205078,-127.4469985961914,10.08899974822998,59.599998474121094,59.599998474121094,2257.250732421875,44,2010 (Baseline)
4900574,192,2010-03-15,43.60300064086914,-127.4990005493164,9.987000465393066,67.30000305175781,67.30000305175781,2273.5166015625,44,2010 (Baseline)
4900574,193,2010-03-26,43.59700012207031,-127.62799835205078,10.041000366210938,59.20000076293945,59.20000076293945,2253.87646484375,44,2010 (Baseline)
4900574,194,2010-04-05,43.57899856567383,-127.7699966430664,10.309000015258789,67.69999694824219,67.69999694824219,2319.156494140625,44,2010 (Baseline)
4900574,195,2010-04-16,43.46699905395508,-127.89800262451172,10.595000267028809,38.20000076293945,75.69999694824219,2275.56884765625,44,2010 (Baseline)
4900574,196,2010-04-26,43.32500076293945,-128.18099975585938,10.539999961853027,59.70000076293945,75.9000015258789,2347.675048828125,44,2010 (Baseline)
4900574,197,2010-05-07,43.30500030517578,-128.2259979248047,10.993000030517578,31.399999618530273,52.400001525878906,2348.852294921875,44,2010 (Baseline)
4900574,198,2010-05-17,43.38100051879883,-128.2899932861328,12.484999656677246,17.299999237060547,99.5,2371.154296875,44,2010 (Baseline)
4900574,199,2010-05-28,43.520999908447266,-128.1999969482422,12.012999534606934,31.200000762939453,67.30000305175781,2405.89501953125,44,2010 (Baseline)
4900574,200,2010-06-08,43.618,-128.255,12.133999824523926,17.5,24.399999618530273,2340.818603515625,44,2010 (Baseline)
4900574,201,2010-06-18,43.776,-128.174,12.77299976348877,31.399999618530273,24.5,2352.177734375,44,2010 (Baseline)
4900574,202,2010-06-29,43.956,-128.093,14.269000053405762,23.899999618530273,45.29999923706055,2461.110595703125,44,2010 (Baseline)
4900574,203,2010-07-09,44.126,-128.095,14.67199993133545,24.600000381469727,24.600000381469727,2474.706787109375,44,2010 (Baseline)
4900574,204,2010-07-20,44.189,-128.277,14.930000305175781,24.299999237060547,45.0,2503.769775390625,44,2010 (Baseline)
4900574,205,2010-07-31,44.258,-128.519,15.435999870300293,17.299999237060547,52.599998474121094,2529.308837890625,44,2010 (Baseline)
4900575,185,2010-01-02,40.36399841308594,-138.03799438476562,12.82699966430664,83.0,83.0,2923.67919921875,44,2010 (Baseline)
4900575,186,2010-01-12,40.292999267578125,-137.80799865722656,12.857999801635742,91.5999984741211,91.5999984741211,2957.42041015625,44,2010 (Baseline)
4900575,187,2010-01-23,40.14899826049805,-137.55299377441406,12.187000274658203,91.4000015258789,115.4000015258789,2888.93212890625,44,2010 (Baseline)
4900575,188,2010-02-02,40.09600067138672,-137.46299743652344,12.065999984741211,67.30000305175781,107.5999984741211,2875.046875,44,2010 (Baseline)
4900575,189,2010-02-13,39.880001068115234,-137.43099975585938,11.279000282287598,115.4000015258789,115.4000015258789,2851.9228515625,44,2010 (Baseline)
4900575,190,2010-02-24,39.80500030517578,-137.302001953125,12.258000373840332,99.4000015258789,99.4000015258789,2960.861572265625,44,2010 (Baseline)
4900575,191,2010-03-06,39.67900085449219,-137.343994140625,11.109999656677246,115.5,115.5,2819.073974609375,44,2010 (Baseline)
